,name_track,name_artist,genre,type,year,id,popularity
0,when the party's over,Billie Eilish,pop,track,2019,43zdsphuZLzwA9k4DJhU0I,88
1,Where's My Love,SYML,pop,track,2019,1B62o4CbdL9ckGvwsz2cgn,83
2,Cinnamon Girl,Lana Del Rey,pop,track,2019,2mdEsXPu8ZmkHRRtAdC09e,88
3,Someone You Loved,Lewis Capaldi,pop,track,2019,7qEHsqek33rTcFNT9PFqLf,88
4,everything i wanted,Billie Eilish,pop,track,2019,3ZCTVFBt2Brf31RLEnCkWJ,85
5,i love you,Billie Eilish,pop,track,2019,6CcJMwBtXByIz4zQLzFkKc,85
6,Cruel Summer,Taylor Swift,pop,track,2019,1BxfuPKGuaTgP7aM0Bbdwr,91
7,Years,Astrid S,pop,track,2019,5WEAZtjEufELtaxqYcqCJg,55
8,Raske Briller,Nicolay Ramm,pop,track,2019,5lwU311GwiiWBhcXrdy1R4,52
9,Cry,Cigarettes After Sex,pop,track,2019,7mDTvYD2ieE4Q28XFziMfJ,88
10,Half A Man,Dean Lewis,pop,track,2019,1ugQtcwmKOXvKAYzhjncmv,79
11,Bruises,Lewis Capaldi,pop,track,2019,4Of7rzpRpV1mWRbhp5rAqG,80
12,bad guy,Billie Eilish,pop,track,2019,2Fxmhks0bxGSBdJ92vM42m,84
13,Uranium Heart,Highasakite,pop,track,2019,5O9j5J7eMaBKHqNqupnu0i,51
14,den jeg vil ha,Ka2,pop,track,2019,7vXnWjkPqXEqaATYFijw0i,50
15,Watermelon Sugar,Harry Styles,pop,track,2019,6UelLqGlWMcVH1E5c4H7lY,86
16,Don't Give Up On Me,Andy Grammer,pop,track,2019,0fiijtFXDJ9MOVwgSaEQJ5,80
17,Before You Go,Lewis Capaldi,pop,track,2019,2gMXnyrvIjhVBUZwvLZDMP,84
18,Circles,Post Malone,pop,track,2019,21jGcNKet2qwijlDFuPiPb,87
19,What A Time (feat. Niall Horan),Julia Michaels,pop,track,2019,5WtfUKzXircvW8l5aaVZWT,77
20,Du ga mæ viljestyrke,Kristian Kristensen,pop,track,2019,4AuJ78qR1JaNvveL2DTC70,50
21,Be Alright,Dean Lewis,pop,track,2019,5qrSlOut2rNAWv3ubArkNy,81
22,Falling,Harry Styles,pop,track,2019,1ZMiCix7XSAbfAJlEZWMCp,81
23,Fine Line,Harry Styles,pop,track,2019,6VzcQuzTNTMFnJ6rBSaLH9,81
24,Car's Outside,James Arthur,pop,track,2019,0otRX6Z89qKkHkQ9OqJpKt,86
25,Waves,Dean Lewis,pop,track,2019,6w8pFOKn42O418qwcQElZ3,78
26,Shameless,Camila Cabello,pop,track,2019,2ogKhhoMClkFXek7ZgxAhN,85
27,Higher Love,Kygo,pop,track,2019,6oJ6le65B3SEqPwMRNXWjY,76
28,Hvem Er Hun,Arif Murakami,pop,track,2019,2zTXGnJsTwSp1TKcs5g6Xb,48
29,Första Klass,Einár,pop,track,2019,74TEgDsFaq0zMttq1dVuYK,59
30,Lay By Me,Ruben,pop,track,2019,5xQ1yxKzTuPcSNO9FP0lNS,58
31,If the World Was Ending (feat. Julia Michaels),JP Saxe,pop,track,2019,2kJwzbxV2ppxnQoYw4GLBZ,76
32,Favorite Part Of Me,Astrid S,pop,track,2019,0cppqb4vQycORHNMxr8DGd,53
33,Trenger en mann,Staysman & Lazz,pop,track,2019,3ILRzR8SwJajRjrcySym2F,48
34,Hold Me While You Wait,Lewis Capaldi,pop,track,2019,60iSKGrGazRzICtMjADNSM,78
35,Solen har gått ner,Veronica Maggio,pop,track,2019,10ylH6P7Lk02UVQbHSLSuJ,61
36,ilomilo,Billie Eilish,pop,track,2019,7qEKqBCD2vE5vIBsrUitpD,77
37,Hornstullsstrand,Hov1,pop,track,2019,2kju4JyRnNmiwQYhFrLgKy,63
38,Lover,Taylor Swift,pop,track,2019,1dGr1c8CrMLDpV6mPbImSI,86
39,Through Tunnels and Towns,Highasakite,pop,track,2019,1I36qeaEtexBzWjB1fHdkz,47
40,Det er fredag,Herman Flesvig,pop,track,2019,7g35s50bVXtkp6zhihmvcu,47
41,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,pop,track,2019,4Yxc55NX3tAXC2mHRAhtcW,81
42,Despacito,Luis Fonsi,pop,track,2019,6habFhsOp2NvshLv26DqMb,83
43,bury a friend,Billie Eilish,pop,track,2019,4SSnFejRGlZikf02HLewEF,77
44,Adore You,Harry Styles,pop,track,2019,3jjujdWJ72nww5eGnfs2E7,84
45,HALLO,Isah,pop,track,2019,1WjLQsbfei4kk9OaVxtfIB,46
46,Lost Without You,Freya Ridings,pop,track,2019,3cWI6Hj9LQ0MfMuhw9uSMc,70
47,FÖRSENT,1.Cuz,pop,track,2019,6mDcLPGVCmdhMN4gBzNb7s,59
48,Arcade,Duncan Laurence,pop,track,2019,1Xi84slp6FryDSCbzq4UCD,77
49,Formula,Labrinth,pop,track,2019,6EtKlIQmGPB9SX8UjDJG5s,79
50,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,pop,track,2019,0RiRZpuVRbi7oqRdSMwhQY,84
51,Heavenly,Cigarettes After Sex,pop,track,2019,5E02BgqYNN9VzafXrYP6Np,81
52,KALD DJEVEL,Dutty Dior,pop,track,2019,2bHB3b9QHADAGQFSyU4C7V,46
53,7 rings,Ariana Grande,pop,track,2019,6ocbgoVGwYJhOv1GgI9NsF,85
54,Without You,Emma Steinbakken,pop,track,2019,7gQ0Ujx0iQ6yxNTFukpwFx,45
55,Looking at Me,Sabrina Carpenter,pop,track,2019,59tskctgqUmjCWAwhzYAFm,80
56,Don't Call Me Up,Mabel,pop,track,2019,5WHTFyqSii0lmT9R21abT8,74
57,Blåmärkshårt (Mi Amor),Miriam Bryant,pop,track,2019,2qKtQuFukH2d0m3FNROcqH,60
58,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,pop,track,2019,02dRkCEc8Q5ch4TTcnLxOn,80
59,Kom Hit,K27,pop,track,2019,5XBeeimSPBF6Hh3NuQnIEp,58
60,Leave a Light On,Tom Walker,pop,track,2019,4iVVU8DyQvOVsKafv3KWIF,74
61,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,pop,track,2019,20ZP3Om9DvDazXrNUC7WM2,74
62,Ride It,Regard,pop,track,2019,2tnVG71enUj33Ic2nFN6kZ,79
63,listen before i go,Billie Eilish,pop,track,2019,0tMSssfxAL2oV8Vri0mFHE,78
64,Trust Issues,Drake,pop,track,2019,4Wjhj0WjkyECccfHVIgaTq,80
65,Mount Everest,Labrinth,pop,track,2019,1ZdhOMWyFR8Iv9eylMGYg2,80
66,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",A$AP Ferg,pop,track,2019,5oady7OSE7dH7LHiqmb3Cr,81
67,SOS (feat. Aloe Blacc),Avicii,pop,track,2019,2x0RZdkZcD8QRI53XT4GI5,75
68,All Around The World (La La La),R3HAB,pop,track,2019,02itaCXOdC54J0ISjqqFAp,74
69,Don't Kill My Vibe,Sigrid,pop,track,2019,0qJ0QrdO2a5PWgxnGgaMmY,44
70,Strangers,Sigrid,pop,track,2019,2BBWnDiazmiqAPmMM60jXs,44
71,Someone To You,BANNERS,pop,track,2019,2f0pn9DkEJwAzXApnFh5cr,78
72,The Man,Taylor Swift,pop,track,2019,3RauEVgRgj1IuWdJ9fDs70,81
73,Streets,Doja Cat,pop,track,2019,60ynsPSSKe6O3sfwRnIBRf,85
74,Tillfälligheter,Veronica Maggio,pop,track,2019,0rBj6lYQUMHwTJ33sdj6Qz,60
75,Sucker,Jonas Brothers,pop,track,2019,22vgEDb5hykfaTwLuskFGD,81
76,Señorita,Shawn Mendes,pop,track,2019,0TK2YIli7K1leLovkQiNik,80
77,Still Don't Know My Name,Labrinth,pop,track,2019,6N22FZs2ZhPBYi3b9XPajV,76
78,The Seed,AURORA,pop,track,2019,4xmVVA2E3Yv5zF4OVVj8ru,44
79,When You Love Someone,James TW,pop,track,2019,0TXNKTzawI6VgLoA9UauRp,71
80,Doin' Time,Lana Del Rey,pop,track,2019,0Oqc0kKFsQ6MhFOLBNZIGX,80
81,FÖRSENT,1.Cuz,pop,track,2019,2A0ldcG3kavQErxfGlwJNs,56
82,Tenker på deg,Gabrielle,pop,track,2019,37kEJJkPM9auTyvVhJX8Y4,44
83,Helt Ærlig,Morgan Sulele,pop,track,2019,00NVYE5PrMpR1gVlC8zPZV,44
84,Iko Iko (My Bestie),Justin Wellington,pop,track,2019,7MC4XR9M9amdmKQr2iDF7i,72
85,you should see me in a crown,Billie Eilish,pop,track,2019,3XF5xLJHOQQRbWya6hBp7d,79
86,BlimE - Mer Enn God Nok,Stina Talling,pop,track,2019,2Sk1QwXo0FMb8kwWahCSMW,44
87,Forever,Lewis Capaldi,pop,track,2019,12OLyHDxt6dqlAybSPFBK3,73
88,Power Over Me,Dermot Kennedy,pop,track,2019,3CNLrZJST54nE4PUkS83Sl,73
89,Almost (Sweet Music),Hozier,pop,track,2019,7uttm8Iurm5uK67Vr9G2Sp,71
90,For You (With Rita Ora),Liam Payne,pop,track,2019,5rlMVKnvE6ZSzNCs8ZyHqU,74
91,You Need To Calm Down,Taylor Swift,pop,track,2019,6RRNNciQGZEXnqk8SQ9yv5,79
92,Échame La Culpa,Luis Fonsi,pop,track,2019,0mlAOSILGRys2IbvyOT5VJ,75
93,Mrs Magic,Strawberry Guy,pop,track,2019,0TZejo18HlJ86OrWNsXKnw,82
